project,description,tags,start,end,updated,duration,modified
project_0,description_0,None,2018-04-25T19:49:41-04:00,2018-04-25T20:49:44-04:00,2018-04-25T20:49:46-04:00,3603000,True
project_1,description_1,None,2018-04-25T19:04:56-04:00,2018-04-25T19:43:33-04:00,2018-04-25T19:43:33-04:00,2317000,False
project_0,description_0,None,2018-04-25T17:42:25-04:00,2018-04-25T19:04:54-04:00,2018-04-25T19:10:28-04:00,4949000,True
project_2,description_2,None,2018-04-25T17:22:04-04:00,2018-04-25T17:31:29-04:00,2018-04-25T17:31:29-04:00,565000,False
project_3,description_3,None,2018-04-25T16:23:00-04:00,2018-04-25T17:19:47-04:00,2018-04-25T17:19:47-04:00,3407000,False
project_4,description_4,None,2018-04-25T16:06:35-04:00,2018-04-25T16:20:01-04:00,2018-04-25T16:20:01-04:00,806000,False
project_5,description_5,None,2018-04-25T15:26:19-04:00,2018-04-25T16:06:33-04:00,2018-04-25T16:06:34-04:00,2414000,True
project_4,description_4,None,2018-04-25T15:20:09-04:00,2018-04-25T15:26:18-04:00,2018-04-25T15:26:19-04:00,369000,True
project_4,description_4,None,2018-04-25T14:39:00-04:00,2018-04-25T15:17:00-04:00,2018-04-25T15:20:33-04:00,2280000,True
project_1,description_1,None,2018-04-25T14:07:14-04:00,2018-04-25T14:38:08-04:00,2018-04-25T14:38:08-04:00,1854000,False
project_6,description_6,None,2018-04-25T13:28:02-04:00,2018-04-25T14:07:13-04:00,2018-04-25T14:07:15-04:00,2351000,True
project_2,description_2,None,2018-04-25T12:33:59-04:00,2018-04-25T13:28:01-04:00,2018-04-25T13:28:01-04:00,3242000,False
project_3,description_7,None,2018-04-25T09:06:41-04:00,2018-04-25T12:33:56-04:00,2018-04-25T12:33:57-04:00,12435000,True
project_3,description_3,None,2018-04-25T01:15:12-04:00,2018-04-25T02:14:22-04:00,2018-04-25T02:14:24-04:00,3550000,True
project_2,description_2,None,2018-04-25T00:49:09-04:00,2018-04-25T01:15:10-04:00,2018-04-25T01:15:11-04:00,1561000,True
project_0,description_0,None,2018-04-24T22:43:34-04:00,2018-04-25T00:48:51-04:00,2018-04-25T00:48:51-04:00,7517000,False
project_3,description_8,None,2018-04-24T22:08:26-04:00,2018-04-24T22:29:21-04:00,2018-04-24T22:37:37-04:00,1255000,True
project_5,description_9,None,2018-04-24T21:10:28-04:00,2018-04-24T22:08:26-04:00,2018-04-24T22:08:26-04:00,3478000,False
project_3,description_8,None,2018-04-24T20:53:51-04:00,2018-04-24T21:10:27-04:00,2018-04-24T21:10:28-04:00,996000,True
project_1,description_1,None,2018-04-24T20:20:14-04:00,2018-04-24T20:45:27-04:00,2018-04-24T20:45:28-04:00,1513000,True
project_3,description_3,None,2018-04-24T19:32:00-04:00,2018-04-24T20:04:14-04:00,2018-04-24T20:04:25-04:00,1934000,True
project_4,description_4,None,2018-04-24T19:02:00-04:00,2018-04-24T19:30:41-04:00,2018-04-24T19:30:51-04:00,1721000,True
project_0,description_0,None,2018-04-24T18:24:26-04:00,2018-04-24T18:59:00-04:00,2018-04-24T19:30:33-04:00,2074000,True
project_1,description_1,None,2018-04-24T17:54:33-04:00,2018-04-24T18:24:26-04:00,2018-04-24T18:58:58-04:00,1793000,True
project_2,description_2,None,2018-04-24T16:49:28-04:00,2018-04-24T17:26:52-04:00,2018-04-24T17:26:52-04:00,2244000,False
project_0,description_0,None,2018-04-24T13:19:01-04:00,2018-04-24T16:49:19-04:00,2018-04-24T19:30:33-04:00,12618000,True
project_1,description_1,None,2018-04-24T12:28:57-04:00,2018-04-24T13:18:53-04:00,2018-04-24T13:18:53-04:00,2996000,False
project_6,description_6,None,2018-04-24T11:50:31-04:00,2018-04-24T12:28:48-04:00,2018-04-24T12:28:48-04:00,2297000,False
project_0,description_10,None,2018-04-24T11:42:50-04:00,2018-04-24T11:50:18-04:00,2018-04-24T11:50:18-04:00,448000,False
project_3,description_3,None,2018-04-24T10:46:47-04:00,2018-04-24T11:42:40-04:00,2018-04-24T11:42:40-04:00,3353000,False
project_3,description_7,None,2018-04-24T09:00:48-04:00,2018-04-24T10:46:39-04:00,2018-04-24T10:46:39-04:00,6351000,False
project_0,description_0,None,2018-04-23T21:35:40-04:00,2018-04-24T02:04:08-04:00,2018-04-24T02:04:10-04:00,16108000,True
project_3,description_3,None,2018-04-23T20:15:00-04:00,2018-04-23T21:25:00-04:00,2018-04-23T21:30:40-04:00,4200000,True
project_1,description_11,None,2018-04-23T19:36:02-04:00,2018-04-23T20:12:00-04:00,2018-04-23T20:47:28-04:00,2158000,True
